2026-03-06 15:52:34 | INFO | application.py:128 | start | Init ReMe with config: {"backend":"cmd","app_name":"ReMe","working_dir":"C:/pinokio/api/ekrem/app/.reme","enable_logo":false,"language":"","thread_pool_max_workers":16,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"llms":{"default":{"backend":"openai","model_name":"llama3.2:latest","request_interval":1,"base_url":"http://127.0.0.1:11434/v1","api_key":"ollama"},"qwen3_max_instruct":{"backend":"openai","model_name":"qwen3-max","request_interval":2},"qwen-plus-thinking":{"backend":"openai","model_name":"qwen-plus","request_interval":1,"extra_body":{"enable_thinking":true}}},"embedding_models":{"default":{"backend":"openai","model_name":"llama3.2:latest","dimensions":1024,"enable_cache":false,"base_url":"http://127.0.0.1:11434/v1","api_key":"ollama"}},"vector_stores":{"default":{"backend":"local","collection_name":"reme","embedding_model":"default"}},"file_stores":{},"token_counters":{"default":{"backend":"base","model_name":""},"hf":{"backend":"hf","model_name":"Qwen/Qwen3-Coder-30B-A3B-Instruct","use_mirror":true}},"file_watchers":{},"metadata":{}}
2026-03-06 15:52:34 | INFO | local_vector_store.py:137 | create_collection | Created collection reme at C:\pinokio\api\ekrem\app\.reme\vector_store\reme
2026-03-06 15:52:34 | INFO | local_vector_store.py:335 | start | Local vector store loaded 1 nodes from reme
2026-03-06 15:52:34 | INFO | application.py:238 | close | Closing vector store: default
2026-03-06 15:52:34 | INFO | local_vector_store.py:341 | close | Local vector store closed
2026-03-06 15:52:34 | INFO | application.py:250 | close | Closing LLM: default
2026-03-06 15:52:34 | INFO | application.py:250 | close | Closing LLM: qwen3_max_instruct
2026-03-06 15:52:34 | INFO | application.py:250 | close | Closing LLM: qwen-plus-thinking
2026-03-06 15:52:34 | INFO | application.py:254 | close | Closing embedding model: default
